,Profil ,Czas ,Kurs ,Zmiana ,Zmiana % ,Odn. ,Otw. ,Min. ,Max. ,Wolumen ,Obrót ,Udział ,1r 3m
0,ACP (ASSECOPOL) ,10 mar 17:00 ,77.5,-2.6,(-3.25%) ,80.1,78.6,77.3,78.9,48 009 ,3 743 881 ,2.057% ,
1,ALE (ALLEGRO) ,10 mar 17:04 ,27.39,-0.655,(-2.34%) ,28.045,27.355,27.01,27.735,1 956 089 ,53 613 764 ,5.46% ,
2,CCC ,10 mar 17:00 ,35.43,0.2,(+0.57%) ,35.23,34.84,34.45,36.08,267 103 ,9 490 453 ,0.636% ,
3,CDR (CDPROJEKT) ,10 mar 17:02 ,128.7,-3.48,(-2.63%) ,132.18,130.9,127.62,131.2,187 719 ,24 233 596 ,4.261% ,
4,CPS (CYFRPLSAT) ,10 mar 17:04 ,17.1,-0.74,(-4.15%) ,17.84,17.5,17.06,17.6,445 375 ,7 660 826 ,1.972% ,
5,DNP (DINOPL) ,10 mar 17:00 ,414.6,7.2,(+1.77%) ,407.4,404.0,400.6,415.0,414 453 ,169 391 088 ,9.431% ,
6,JSW ,10 mar 17:04 ,50.66,-1.5,(-2.88%) ,52.16,51.2,49.84,51.28,605 122 ,30 534 550 ,1.267% ,
7,KGH (KGHM) ,10 mar 17:03 ,121.45,-0.45,(-0.37%) ,121.9,119.9,118.2,121.6,789 683 ,94 662 888 ,7.871% ,
8,KRU (KRUK) ,10 mar 17:00 ,328.0,-4.0,(-1.20%) ,332.0,328.0,325.0,335.8,19 566 ,6 451 105 ,2.728% ,
9,KTY (KETY) ,10 mar 17:00 ,494.0,-10.0,(-1.98%) ,504.0,502.0,493.5,503.0,6 643 ,3 305 336 ,2.265% ,
10,LPP ,10 mar 17:03 ,9430.0,-105.0,(-1.10%) ,9535.0,9490.0,9320.0,9505.0,2 519 ,23 750 000 ,4.691% ,
11,MBK (MBANK) ,10 mar 17:00 ,304.2,-13.6,(-4.28%) ,317.8,315.0,301.4,315.8,39 237 ,12 040 940 ,1.889% ,
12,OPL (ORANGEPL) ,10 mar 17:00 ,6.784,-0.176,(-2.53%) ,6.96,6.84,6.752,6.898,1 447 403 ,9 834 425 ,2.086% ,
13,PCO (PEPCO) ,10 mar 17:00 ,42.14,-0.62,(-1.45%) ,42.76,42.4,41.42,42.4,521 793 ,21 884 416 ,3.191% ,
14,PEO (PEKAO) ,10 mar 17:04 ,85.62,-4.0,(-4.46%) ,89.62,88.0,85.0,88.0,879 770 ,75 811 312 ,7.175% ,
15,PGE ,10 mar 17:00 ,6.506,-0.118,(-1.78%) ,6.624,6.52,6.382,6.582,2 233 584 ,14 416 931 ,2.656% ,
16,PKN (PKNORLEN) ,10 mar 17:04 ,62.46,-1.02,(-1.61%) ,63.48,63.0,62.18,63.04,1 700 280 ,106 332 904 ,14.066% ,
17,PKO (PKOBP) ,10 mar 17:03 ,29.78,-0.72,(-2.36%) ,30.5,30.03,29.62,30.24,3 209 044 ,95 958 072 ,12.133% ,
18,PZU ,10 mar 17:02 ,35.63,-1.21,(-3.28%) ,36.84,36.5,35.43,36.58,1 226 411 ,43 904 316 ,9.62% ,
19,SPL (SANPL) ,10 mar 17:00 ,287.2,-10.8,(-3.62%) ,298.0,292.0,285.4,292.4,72 856 ,21 084 530 ,4.545% ,
